时间片（11天）,T42-滹沱河退水闸,F63-永安分水口,T43-磁河古道退水闸,F64-西名分水口,T44-沙河(北)退水闸,F65-留营分水口,F66-中管头分水口,T45-唐河退水闸,下游流量
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
0,17.00,0.61,0,0.23,0,0.31,2.22,0,54.57
